Scenario,Route (m),Linear heat density (MWh/m),Losses (%),Gross CAPEX (£m),Grant (£m),Net CAPEX (£m),Connection contributions (£m),Annual OPEX (£m),Unmet heat (MWh),Carbon (gCO2e/kWh),Investor NPV (£m),Investor IRR (%),Discount rate (%),Required heat tariff (p/kWh),Outcome
Route sensitivity 1200m,1200.0,11.801,3.845013134480128,17.017958,3.743059,13.274899,5.0064,1.284591,0.0,53.6,-14.36195304,,3.5000000000000004,12.503,DO NOT PROGRESS
Route sensitivity 1500m,1500.0,9.440800000000001,4.806089879388752,18.479108,4.23985,14.239258,5.0064,1.307027,0.0,54.199999999999996,-15.80543612,,3.5000000000000004,12.98,DO NOT PROGRESS
Route sensitivity 1800m,1800.0,7.867333333333334,5.767166624297376,19.940257,4.736641,15.203616,5.0064,1.329459,0.0,54.800000000000004,-17.24882716,,3.5000000000000004,13.457,DO NOT PROGRESS
Route sensitivity 2148m,2148.0,6.592737430167598,6.882185125554331,21.635191,5.312919,16.322272,5.0064,1.355468,0.0,55.5,-18.922909899999997,,3.5000000000000004,14.011,DO NOT PROGRESS
Route sensitivity 2500m,2500.0,5.66448,8.009914414032709,23.349607,5.89582,17.453787,5.0064,1.381758,0.16,56.2,-20.61583857,,3.5000000000000004,14.571,DO NOT PROGRESS
Route sensitivity 3000m,3000.0,4.720400000000001,9.612179758777504,25.784856,6.723805,19.061051,5.0064,1.419075,0.49,57.3,-23.020018620000002,,3.5000000000000004,15.366,DO NOT PROGRESS
Route sensitivity 4000m,4000.0,3.5403000000000002,12.816004293421463,30.655354,8.379774,22.27558,5.0064,1.49366,1.04,59.4,-27.82730479,,3.5000000000000004,16.955,DO NOT PROGRESS
