Network,Linear density (MWh/m/yr),What customers pay (p/kWh),What the scheme needs to charge (p/kWh)
"Central Exeter
(dense, short branches)",2.853,7.954,28.954
"Sowton/Airport
(spread, long branches)",1.441,7.731,46.52
