Group,Scenario,Year,Cumulative discounted (£),Cumulative undiscounted (£)
Data-centre waste heat,DC1 - Data-centre-only service stress test,14,-6578744.0,-7261595.19
Data-centre waste heat,DC1 - Data-centre-only service stress test,15,-7230918.44,-10177665.18
Data-centre waste heat,DC1 - Data-centre-only service stress test,16,-7274650.3,-10393735.17
Data-centre waste heat,DC1 - Data-centre-only service stress test,17,-7314226.65,-10609805.16
Data-centre waste heat,DC1 - Data-centre-only service stress test,18,-7350042.35,-10825875.15
Data-centre waste heat,DC1 - Data-centre-only service stress test,19,-7382454.75,-11041945.14
Data-centre waste heat,DC1 - Data-centre-only service stress test,20,-7411787.24,-11258015.13
Data-centre waste heat,DC1 - Data-centre-only service stress test,21,-7438332.48,-11474085.12
Data-centre waste heat,DC1 - Data-centre-only service stress test,22,-7462355.32,-11690155.11
Data-centre waste heat,DC1 - Data-centre-only service stress test,23,-7484095.44,-11906225.1
Data-centre waste heat,DC1 - Data-centre-only service stress test,24,-7503769.77,-12122295.1
Data-centre waste heat,DC1 - Data-centre-only service stress test,25,-7626267.6,-13608865.09
Data-centre waste heat,DC1 - Data-centre-only service stress test,26,-7642380.56,-13824935.08
Data-centre waste heat,DC1 - Data-centre-only service stress test,27,-7656962.42,-14041005.07
Data-centre waste heat,DC1 - Data-centre-only service stress test,28,-7670158.67,-14257075.06
Data-centre waste heat,DC1 - Data-centre-only service stress test,29,-7682100.98,-14473145.05
Data-centre waste heat,DC1 - Data-centre-only service stress test,30,-7827958.76,-17389215.04
Data-centre waste heat,DC1 - Data-centre-only service stress test,31,-7837739.33,-17605285.03
Data-centre waste heat,DC1 - Data-centre-only service stress test,32,-7846590.51,-17821355.02
Data-centre waste heat,DC1 - Data-centre-only service stress test,33,-7854600.64,-18037425.01
Data-centre waste heat,DC1 - Data-centre-only service stress test,34,-7861849.62,-18253495.0
Data-centre waste heat,DC1 - Data-centre-only service stress test,35,-7868409.78,-18469564.99
Data-centre waste heat,DC1 - Data-centre-only service stress test,36,-7874346.58,-18685634.98
Data-centre waste heat,DC1 - Data-centre-only service stress test,37,-7879719.25,-18901704.97
Data-centre waste heat,DC1 - Data-centre-only service stress test,38,-7884581.4,-19117774.96
Data-centre waste heat,DC1 - Data-centre-only service stress test,39,-7888981.53,-19333844.95
Data-centre waste heat,DC1 - Data-centre-only service stress test,40,-7892963.55,-19549914.94
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,0,-13934409.49,-13934409.49
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,1,-6941586.42,-6207340.0
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,2,-7446842.66,-6824270.5
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,3,-7904088.14,-7441201.01
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,4,-8317884.95,-8058131.52
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,5,-8692361.69,-8675062.03
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,6,-9031254.68,-9291992.54
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,7,-9337945.17,-9908923.05
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,8,-9615493.12,-10525853.56
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,9,-9866667.73,-11142784.07
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,10,-10093975.08,-11759714.58
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,11,-10299683.08,-12376645.09
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,12,-10485844.17,-12993575.6
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,13,-10654315.74,-13610506.11
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,14,-10806778.71,-14227436.62
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,15,-11492245.56,-17292367.13
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,16,-11617110.3,-17909297.64
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,17,-11730110.06,-18526228.15
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,18,-11832372.29,-19143158.66
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,19,-11924917.29,-19760089.16
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,20,-12008668.42,-20377019.67
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,21,-12084461.3,-20993950.18
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,22,-12153052.14,-21610880.69
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,23,-12215125.3,-22227811.2
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,24,-12271300.11,-22844741.71
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,25,-12390663.37,-24293272.22
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,26,-12436669.64,-24910202.73
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,27,-12478304.28,-25527133.24
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,28,-12515982.68,-26144063.75
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,29,-12550080.78,-26760994.26
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,30,-12754903.53,-30855924.77
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,31,-12782829.33,-31472855.28
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,32,-12808101.55,-32089785.79
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,33,-12830972.33,-32706716.3
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,34,-12851669.87,-33323646.81
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,35,-12870400.68,-33940577.32
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,36,-12887351.64,-34557507.82
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,37,-12902691.87,-35174438.33
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,38,-12916574.44,-35791368.84
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,39,-12929137.84,-36408299.35
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,40,-12940507.44,-37025229.86
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,0,-10965445.32,-10965445.32
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,1,-3553952.83,-2775746.12
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,2,-3680322.72,-2930046.92
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,3,-3794684.62,-3084347.71
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,4,-3898179.54,-3238648.51
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,5,-3991840.11,-3392949.31
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,6,-4076600.8,-3547250.1
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,7,-4153307.31,-3701550.9
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,8,-4222724.97,-3855851.7
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,9,-4285546.37,-4010152.49
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,10,-4342398.33,-4164453.29
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,11,-4393848.06,-4318754.09
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,12,-4440408.9,-4473054.88
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,13,-4482545.41,-4627355.68
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,14,-4520678.0,-4781656.48
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,15,-4812830.1,-6087957.27
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,16,-4844060.09,-6242258.07
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,17,-4872322.51,-6396558.87
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,18,-4897899.37,-6550859.66
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,19,-4921045.84,-6705160.46
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,20,-4941992.88,-6859461.26
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,21,-4960949.48,-7013762.05
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,22,-4978104.77,-7168062.85
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,23,-4993629.92,-7322363.65
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,24,-5007679.82,-7476664.44
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,25,-5058464.86,-8092965.24
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,26,-5069971.51,-8247266.04
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,27,-5080384.77,-8401566.83
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,28,-5089808.53,-8555867.63
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,29,-5098336.83,-8710168.43
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,30,-5215195.36,-11046469.22
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,31,-5222179.89,-11200770.02
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,32,-5228500.74,-11355070.82
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,33,-5234220.96,-11509371.61
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,34,-5239397.64,-11663672.41
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,35,-5244082.41,-11817973.21
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,36,-5248322.02,-11972274.0
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,37,-5252158.77,-12126574.8
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,38,-5255630.95,-12280875.6
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,39,-5258773.19,-12435176.39
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,40,-5261616.84,-12589477.19
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,0,-15727558.32,-15727558.32
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,1,-15867197.05,-15881859.12
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,2,-15993566.95,-16036159.92
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,3,-16107928.84,-16190460.71
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,4,-16211423.76,-16344761.51
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,5,-16305084.33,-16499062.31
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,6,-16389845.02,-16653363.1
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,7,-16466551.53,-16807663.9
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,8,-16535969.19,-16961964.7
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,9,-16598790.6,-17116265.49
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,10,-16655642.55,-17270566.29
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,11,-16707092.28,-17424867.09
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,12,-16753653.12,-17579167.88
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,13,-16795789.63,-17733468.68
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,14,-16833922.22,-17887769.48
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,15,-17126074.33,-19194070.27
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,16,-17157304.31,-19348371.07
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,17,-17185566.73,-19502671.87
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,18,-17211143.59,-19656972.66
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,19,-17234290.07,-19811273.46
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,20,-17255237.1,-19965574.26
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,21,-17274193.7,-20119875.05
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,22,-17291348.99,-20274175.85
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,23,-17306874.14,-20428476.65
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,24,-17320924.05,-20582777.44
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,25,-17371709.08,-21199078.24
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,26,-17383215.73,-21353379.04
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,27,-17393628.99,-21507679.83
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,28,-17403052.76,-21661980.63
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,29,-17411581.05,-21816281.43
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,30,-17528439.58,-24152582.22
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,31,-17535424.11,-24306883.02
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,32,-17541744.96,-24461183.82
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,33,-17547465.18,-24615484.61
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,34,-17552641.86,-24769785.41
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,35,-17557326.63,-24924086.21
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,36,-17561566.24,-25078387.0
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,37,-17565403.0,-25232687.8
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,38,-17568875.17,-25386988.6
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,39,-17572017.41,-25541289.39
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,40,-17574861.07,-25695590.19
