Technology,Duty,Best required tariff in sweep (p/kWh),...at density (MWh/m/yr),Modelled parity tariff (p/kWh),"Still x parity tariff, even at best density"
ASHP + gas backup,Heating only,30.62,40.64,8.08,3.8
ASHP + gas backup,Heating + cooling,34.9,46.52,8.08,4.3
EfW + ASHP (no gas),Heating only,23.08,40.64,8.08,2.9
EfW + ASHP (no gas),Heating + cooling,27.33,46.52,8.08,3.4
Data centre + booster + electric backup,Heating only,29.31,40.64,8.08,3.6
Data centre + booster + electric backup,Heating + cooling,33.61,46.52,8.08,4.2
